requestId,source,destination,category,urgency,timeSubmitted,deadline,status
291,51,37,ELECTRICAL,2,2026-08-01 10:33:00,2026-08-02 16:33:00,ASSIGNED
292,2,1,MAINTENANCE,4,2026-08-08 07:19:00,2026-08-11 01:19:00,IN_PROGRESS
293,3,6,ELECTRICAL,1,2026-08-06 06:07:00,2026-08-07 11:07:00,COMPLETED
294,31,24,MEDICAL,1,2026-08-08 17:39:00,2026-08-10 21:39:00,CANCELLED
295,36,28,PLUMBING,2,2026-08-03 12:31:00,2026-08-04 23:31:00,CANCELLED
296,31,1,CLEANING,1,2026-08-01 18:48:00,2026-08-03 14:48:00,CANCELLED
297,10,14,ELECTRICAL,3,2026-08-12 14:43:00,2026-08-13 18:43:00,COMPLETED
298,23,36,IT_SUPPORT,5,2026-08-13 13:08:00,2026-08-15 15:08:00,COMPLETED
299,29,6,ELECTRICAL,2,2026-08-04 14:00:00,2026-08-05 11:00:00,COMPLETED
300,49,2,WATER,1,2026-08-13 12:41:00,2026-08-15 00:41:00,IN_PROGRESS
